questionID,,,,,,
Title_question,Table name,Table description,Column name,Column description,Data type,Sensitive
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducEngland_other,Partner's highest qualification obtained in England (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducPakista,State partner's highest qualification if it was obtained in Pakistan,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducPakista_other,State partner's highest qualification if it was obtained in Pakistan (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducIndia,State partner's highest qualification if it was obtained in India,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducIndia_other,Partner's highest qualification obtained in India (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducBangl,State partner's highest qualification if it was obtained in Bangladesh,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducBangl_other,Partner's highest qualification obtained in Bangladesh (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducPoland,State partner's highest qualification if it was obtained in Poland,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducPoland_other,Partner's highest qualification obtained in Poland (other),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducSlovak,State partner's highest qualification if it was obtained in Slovakia,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducHunga,State partner's highest qualification if it was obtained in Hungary,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,gaudtPartEducOtherCountry,Partner's education - other country,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducElseOtherPlace,Place of education (other country),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducElseOtherLevel,Level of education (other country),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEducElseOtherCourse,Level/name of course (other country),text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEducFatherHighest,Father's highest education level (derived),categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEmployedNow,Are you currently employed?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEmployedPrev,Have you ever worked before?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEmpSelfEmploy,Do/did you work as an employee or are/were you self-employed,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtNumberEmploy,Number of people who work/worked for your employer,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtNumberEmployee,"If you are self-employed, how many people do/did you employ",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSuperviseEmploy,Do/did you supervise any other employee,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHoursPerWeek,How many hours do/did you work in a typical week,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtJobTitle,What is/was your job title?,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtTypeWork,Which of these best describes the sort of work you do/did?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtTypeWork_other,Which of these describes the other sort of work you do/did,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtNS_SEC,NS-SEC category,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtWorkTravel,How do you usually travel to work?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtWorkTravel_other,How do you usually travel to work?: Other,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartnerEmployed,Is your partner currently employed?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartPrevEmploy,Has your partner ever worked before?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartEmplSelfEmp,Does/did your partner work as an employee or are/were they self-employed,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartNoEmploy,How many people work/worked for partner's employer,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartnerEmployee,"If you partner is self-employed, how many people do/did they employ",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartSupervise,Does/did your partner supervise any other employee,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartnerHours,How many hours does/did your partner work in a typical week,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartJobTitle,What is/was your partner's job title,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartnerTypeWork,Which of these best describes the sort of work your partner does/did?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartnerTypeWork_other,Which of these describes the other sort of work partner does/did,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPartNS_SEC,Partner's NS-SEC category,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseBenefits,Do you receive benefits,decimal,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseBenefits_1,Do you receive housing related benefits,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseBenefits_2,Do you receive disability benefits,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseBenefits_3,Do you receive carers credit,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseBenefits_4,Do you receive unemployment related benefits,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseBenefits_5,Do you receive universal credit,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseBenefits_6,Don't received any of the listed benefits,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseBenefits_77,Doesn't wish to answer question about benefits,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHouseBenefits_99,Doesn't know if in receipt of any benefits,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtManagingFinance,How well is your household managing financially these days,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtFinanceLastYear,How well is your household managing financially compared to 1 yr ago,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMoneyWorry,How often have you worried about money in the last few weeks,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtTrustPeople,"Would you say that people can be trusted, or you can't be too careful",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtFeelingsPartner,My husband/partner doesnâ€™t seem to listen to me,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtInflLocalArea,Do you feel you can influence decisions affecting your local area,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGeneralHealth,How would you describe your health generally?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtTeethHealth,How would you describe the health of your teeth and mouth?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtLongConditio,"Do you have a longstanding illness, disability or infirmity",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtCondLimitActivi,Does this illness or disability limit your activities in any ways?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_0,You have never been told you have any illnesses,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_1,"Have you ever been told you have had a heart attack, angina, heart failure",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_2,Have you ever been told you have had a stroke,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_3,Have you ever been told you have high blood pressure,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_4,Have you ever been told you have high cholesterol,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_5,Have you ever been told you have diabetes,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_6,Have you ever been told you have asthma,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_7,Have you ever been told you have eczema,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_8,Have you ever been told you have anxiety,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_9,Have you ever been told you have depression,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_10,Have you ever been told you have any other mental health condition,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtIllnessList_11,Have you ever been told you have hay fever,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtBPStatins,Are you taking statins for your high blood pressure?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtdiabetesYes,What type of diabetes do you have?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDiabetesTreatme,Are you receiving treatment for diabetes?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDiabTypeTreat_1,Diabetes treated with insulin,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDiabTypeTreat_2,Diabetes treated with tables,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDiabTypeTreat_3,Diabetes treated with diet advice,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtCancertype,What type of cancer do you have,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_1,Age first had heart attack/angina/heart failure,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_2,Age first had a stroke,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_3,Age first had high blood pressure,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_4,Age first had high cholesterol,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_5,Age first had diabetes,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_6,Age first had asthma,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_7,Age first had eczema,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_8,Age first had anxiety,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_9,Age first had depression,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_10,Age first had other mental health condition,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeIllnessv2_11,Age first had hay fever,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_1,"Takes prescribed medication for heart attack, angina, heart failure",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_2,Takes prescribed medication for stroke,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_3,Takes prescribed medication for high blood pressure,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_4,Takes prescribed medication for high cholesterol,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_5,Takes prescribed medication for diabetes,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_6,Takes prescribed medication for asthma,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_7,Takes prescribed medication for eczema,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_8,Takes prescribed medication for anxiety,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_9,Takes prescribed medication for depression,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_10,Takes prescribed medication for other mental health problem,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDoctorprescribe_11,Takes prescribed medication for hay fever,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_1,"Takes meds for heart attack, angina, heart failure, not prescribed by doctor",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_2,Takes meds for stroke not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_3,Takes meds for high blood pressure not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_4,Takes meds for high cholesterol not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_5,Takes meds for diabetes not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_6,Takes meds for asthma not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_7,Takes meds for eczema not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_8,Takes meds for anxiety not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_9,Takes meds for depression not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_10,Takes meds for other mental health problem not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMedNotDoctor_11,Takes meds for hay fever not prescribed by doctor,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAntibiotics,Have you ever used antibiotics that have not been prescribed by your doctor?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHeartDiseaseFam_1,Does your mother have heart disease,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHeartDiseaseFam_2,Does your father have heart disease,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtHeartDiseaseFam_3,Does your sibling have heart disease,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDiabetesFamily_1,Does your mother have diabetes,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDiabetesFamily_2,Does your father have diabetes,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtDiabetesFamily_3,Does your sibling have diabetes,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSmoking,Have you ever smoked tobacco or used tobacco products,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSmokingAge,How old were you when you started smoking/using tobacco products?,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtCurrentlySmoke,Do you currently smoke cigarettes/use tobacco products?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSmokeHowOften,How often do you smoke/use tobacco products?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtWhatTobacco,What tobacco products do you smoke/use?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtWhatTobacco_other,What tobacco products do you smoke/use?: Other,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAgeStopSmoking,How old were you when you stopped smoking/using tobacco products?,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtECigarettes,Do you smoke e-cigarettes?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtECigHowOften,How many times per day do you smoke e-cigarettes,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtTypeECig,Which type of e-cigarettes do you smoke?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtECigNicotine,Do you smoke e-cigarettes with or without nicotine?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtECigNicotine_other,[empty],text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAlcohol,Do you drink any alcohol?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtUnitsWeek,How many units do you drink in a week?,text,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtMaleAlcUnit,How often do you consume more than eight units of alcohol on one occasion?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtFemalAlcUnits,How often do you consume more than six units of alcohol on one occasion?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtAlcoholTwoDays,Do you have two or more days a week when you don't drink alcohol?,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ_1,Over past 2 wks have you had little interest in doing things,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ_2,"Over past 2 wks have you felt down, depressed or hopeless",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ_3,Over past 2 wks have you had trouble falling/staying asleep or sleeping too much,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ_4,Over past 2 wks have you felt tired or had little energy,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ_5,Over past 2 wks have you had poor appetite or over eaten,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ_6,Over past 2 wks have you been feeling bad about yourself,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ_7,Over past 2 wks have you had trouble concentrating on things,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ_8,Over  past 2 wks have you moved or spoken so slowly other have noticed,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ8_Score,PHQ8 score,decimal,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPHQ8_Severity,PHQ severity category,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtEffectProblems,How difficult have your problems made it for you,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGAD_1,"Over past 2 wks have you felt nervous, anxious or on edge",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGAD_2,Over past 2 wks have you not been able to stop or control worrying,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGAD_3,Over past 2 wks have you worried too much about different things,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGAD_4,Over past 2 wks have you had trouble relaxing,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGAD_5,Over past 2 wks have you been so restless it's hard to sit still,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGAD_6,Over past 2 wks have you become easily annoyed or irritable,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGAD_7,Over past 2 wks have you felt afraid as if something awful might happen,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGAD7_Score,GAD-7 score,decimal,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtGAD7_Severity,GAD severity category,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSelfEfficacy_1,"If someone opposes me, I can find the means and ways to get what I want.",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSelfEfficacy_2,It is easy for me to stick to my aims and accomplish my goals.,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSelfEfficacy_3,I am confident that I could deal efficiently with unexpected events.,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSelfEfficacy_4,"Thanks to my resourcefulness, I know how to handle unforeseen situations.",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSelfEfficacy_5,I can reamin calm when facing difficulties because of my coping abilities,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtSelfEfficacy_6,I can usually handle whatever comes my way.,categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPAweekday_1,"On a typical weekday, how long do you sit watching TV",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPAweekday_2,"On a typical weekday, how long do you sit playing computer games",categorical,FALSE
,BiB_GrowingUp.adult_survey,BiB Growing Up adult survey,guadtPAweekday_3,"On a typical weekday, how long do you sit using mobile phone/tablet",categorical,FALSE
