name,publisher,pid,pid_update,accessService,dataUseRequirements,dataUseLimitation,Mapped
Mental Health & Learning Disabilities Dataset v 1 (Sensitive) Events,NHS ENGLAND,3d348613-2d66-4814-a294-7e0c365f43f8,"""3d348613-2d66-4814-a294-7e0c365f43f8"",",,[],[],"Not reported/to be confirmed"
Mental Health & Learning Disabilities Dataset v 1 (Sensitive) Records,NHS ENGLAND,7c2b435c-5442-4a05-9b8d-08024ec57c30,"""7c2b435c-5442-4a05-9b8d-08024ec57c30"",",,[],[],"Not reported/to be confirmed"
Mental Health Services Data Set - Community,NHS ENGLAND,f3bb6a68-2c32-40a7-9a79-61a718068893,"""f3bb6a68-2c32-40a7-9a79-61a718068893"",",,[],[],"Not reported/to be confirmed"
Mental Health Services Data Set - Currencies,NHS ENGLAND,add485fa-4c54-4a3e-8676-abe2ff4725a5,"""add485fa-4c54-4a3e-8676-abe2ff4725a5"",",,[],[],"Not reported/to be confirmed"
Mental Health Services Data Set - Inpatients,NHS ENGLAND,275ac6a4-798b-4f49-a25e-008245050bbc,"""275ac6a4-798b-4f49-a25e-008245050bbc"",",,[],[],"Not reported/to be confirmed"
Mental Health Services Data Set - Service Users,NHS ENGLAND,f48ad0a1-f90c-4a81-8c04-b23f2d8baf7a,"""f48ad0a1-f90c-4a81-8c04-b23f2d8baf7a"",",,[],[],"Not reported/to be confirmed"
Mental Health and Learning Disabilities Data Set,NHS ENGLAND,e9b43936-e700-40c9-8b32-57ed44583f3d,"""e9b43936-e700-40c9-8b32-57ed44583f3d"",",,[],[],"Not reported/to be confirmed"
Millennium Clinical Events,OXFORD UNIVERSITY HOSPITALS,5f45bcd1-970b-44ba-8ae2-0fb49b85ffa9,"""5f45bcd1-970b-44ba-8ae2-0fb49b85ffa9"",",,[],[],"Not reported/to be confirmed"
OUH Patient Master Index,OXFORD UNIVERSITY HOSPITALS,5d7465f6-ced8-434b-9907-d357ad125024,"""5d7465f6-ced8-434b-9907-d357ad125024"",",,[],[],"Not reported/to be confirmed"
Patient Reported Outcome Measures,NHS ENGLAND,55614ed3-2484-4408-a4e9-e5fffed9e8e4,"""55614ed3-2484-4408-a4e9-e5fffed9e8e4"",",,[],[],"Not reported/to be confirmed"
SOLUS,OXFORD UNIVERSITY HOSPITALS,e653b264-3e44-4ed1-a376-86df45db7f72,"""e653b264-3e44-4ed1-a376-86df45db7f72"",",,[],[],"Not reported/to be confirmed"
Sunquest,OXFORD UNIVERSITY HOSPITALS,a80b2567-4755-46f1-bd2a-f3817ce4f10c,"""a80b2567-4755-46f1-bd2a-f3817ce4f10c"",",,[],[],"Not reported/to be confirmed"
TheatreEvents,OXFORD UNIVERSITY HOSPITALS,2c6adf80-f30b-46c9-b9d4-fe3e68622469,"""2c6adf80-f30b-46c9-b9d4-fe3e68622469"",",,[],[],"Not reported/to be confirmed"
COMPARE,The University of Cambridge,8cbb73e2-a2c4-4caf-8dcd-6ac3795bb996,"""8cbb73e2-a2c4-4caf-8dcd-6ac3795bb996"",",,"['NOT FOR PROFIT USE', 'RETURN TO DATABASE OR RESOURCE', 'USER SPECIFIC RESTRICTION']",GENERAL RESEARCH USE,TRE/SDE
INTERVAL,The University of Cambridge,c1fa9b47-a954-4587-a0c2-bae0f3ec2b9b,"""c1fa9b47-a954-4587-a0c2-bae0f3ec2b9b"",",,"['NOT FOR PROFIT USE', 'RETURN TO DATABASE OR RESOURCE', 'USER SPECIFIC RESTRICTION']",GENERAL RESEARCH USE,TRE/SDE
GENOMICS ENGLAND 100K BIOINFORMATICS DATA,GENOMICS ENGLAND,98999c67-0133-4f11-be95-b84ee5727c84,"""98999c67-0133-4f11-be95-b84ee5727c84"",","More information about the Genomics England Research Environment can be found here:
https://www.genomicsengland.co.uk/about-genomics-england/research-environment/
https://research-help.genomicsengland.co.uk/display/GERE/1.+The+Genomics+England+Research+Environment
Genomics England 100k participants have consented to longitudinal lifetime followup and recontact safely through our clinical network.
BRST (Bioinformatics Research Services) are a team of bioinformatics who know the dataset inside out and provide consultancy projects on a case by case basis.  
Our network of clinical and medical experts can be made available on case by case basis.
Researchers have the opportunity to work with our and access the GeCIP network who are a community of world-leading experts in specific cancers and rare diseases.","['ETHICS APPROVAL REQUIRED', 'PROJECT SPECIFIC RESTRICTIONS', 'PUBLICATION MORATORIUM']",['GENERAL RESEARCH USE'],TRE/SDE
GENOMICS ENGLAND 100K CANCER & COMMON,GENOMICS ENGLAND,702f0198-bdfe-401e-97f2-35f5d26357ad,"""702f0198-bdfe-401e-97f2-35f5d26357ad"",","More information about the Genomics England Research Environment can be found here:
https://www.genomicsengland.co.uk/about-genomics-england/research-environment/
https://research-help.genomicsengland.co.uk/display/GERE/1.+The+Genomics+England+Research+Environment
Genomics England 100k participants have consented to longitudinal lifetime followup and recontact safely through our clinical network.
BRST (Bioinformatics Research Services) are a team of bioinformatics who know the dataset inside out and provide consultancy projects on a case by case basis.  
Our network of clinical and medical experts can be made available on case by case basis.
Researchers have the opportunity to work with our and access the GeCIP network who are a community of world-leading experts in specific cancers and rare diseases.","['ETHICS APPROVAL REQUIRED', 'PROJECT SPECIFIC RESTRICTIONS', 'PUBLICATION MORATORIUM']",['GENERAL RESEARCH USE'],TRE/SDE
GENOMICS ENGLAND 100K NHSD LINKED DATA,GENOMICS ENGLAND,14c31b39-f189-4417-bd38-635268495593,"""14c31b39-f189-4417-bd38-635268495593"",","More information about the Genomics England Research Environment can be found here:
https://www.genomicsengland.co.uk/about-genomics-england/research-environment/
https://research-help.genomicsengland.co.uk/display/GERE/1.+The+Genomics+England+Research+Environment
Genomics England 100k participants have consented to longitudinal lifetime followup and recontact safely through our clinical network.
BRST (Bioinformatics Research Services) are a team of bioinformatics who know the dataset inside out and provide consultancy projects on a case by case basis.  
Our network of clinical and medical experts can be made available on case by case basis.
Researchers have the opportunity to work with our and access the GeCIP network who are a community of world-leading experts in specific cancers and rare diseases.","['ETHICS APPROVAL REQUIRED', 'PROJECT SPECIFIC RESTRICTIONS', 'PUBLICATION MORATORIUM']",['GENERAL RESEARCH USE'],TRE/SDE
GENOMICS ENGLAND 100K PHE LINKED DATA,GENOMICS ENGLAND,ea748742-568a-46e2-b603-2fada49024e1,"""ea748742-568a-46e2-b603-2fada49024e1"",","More information about the Genomics England Research Environment can be found here:
https://www.genomicsengland.co.uk/about-genomics-england/research-environment/
https://research-help.genomicsengland.co.uk/display/GERE/1.+The+Genomics+England+Research+Environment
Genomics England 100k participants have consented to longitudinal lifetime followup and recontact safely through our clinical network.
BRST (Bioinformatics Research Services) are a team of bioinformatics who know the dataset inside out and provide consultancy projects on a case by case basis.  
Our network of clinical and medical experts can be made available on case by case basis.
Researchers have the opportunity to work with our and access the GeCIP network who are a community of world-leading experts in specific cancers and rare diseases.","['ETHICS APPROVAL REQUIRED', 'PROJECT SPECIFIC RESTRICTIONS', 'PUBLICATION MORATORIUM']",GENERAL RESEARCH USE,TRE/SDE
GENOMICS ENGLAND 100K QUICK VIEW,GENOMICS ENGLAND,4cc5ed33-3190-4f80-953b-cabd5a2b1c7c,"""4cc5ed33-3190-4f80-953b-cabd5a2b1c7c"",","More information about the Genomics England Research Environment can be found here:
https://www.genomicsengland.co.uk/about-genomics-england/research-environment/
https://research-help.genomicsengland.co.uk/display/GERE/1.+The+Genomics+England+Research+Environment
Genomics England 100k participants have consented to longitudinal lifetime followup and recontact safely through our clinical network.
BRST (Bioinformatics Research Services) are a team of bioinformatics who know the dataset inside out and provide consultancy projects on a case by case basis.  
Our network of clinical and medical experts can be made available on case by case basis.
Researchers have the opportunity to work with our and access the GeCIP network who are a community of world-leading experts in specific cancers and rare diseases.","['ETHICS APPROVAL REQUIRED', 'PROJECT SPECIFIC RESTRICTIONS', 'PUBLICATION MORATORIUM']",['GENERAL RESEARCH USE'],TRE/SDE
GENOMICS ENGLAND 100K RARE DISEASE & COMMON,GENOMICS ENGLAND,3f2b37f1-e8f7-42e5-83c4-fc9e1c58725d,"""3f2b37f1-e8f7-42e5-83c4-fc9e1c58725d"",","More information about the Genomics England Research Environment can be found here:
https://www.genomicsengland.co.uk/about-genomics-england/research-environment/
https://research-help.genomicsengland.co.uk/display/GERE/1.+The+Genomics+England+Research+Environment
Genomics England 100k participants have consented to longitudinal lifetime followup and recontact safely through our clinical network.
BRST (Bioinformatics Research Services) are a team of bioinformatics who know the dataset inside out and provide consultancy projects on a case by case basis.  
Our network of clinical and medical experts can be made available on case by case basis.
Researchers have the opportunity to work with our and access the GeCIP network who are a community of world-leading experts in specific cancers and rare diseases.","['ETHICS APPROVAL REQUIRED', 'PROJECT SPECIFIC RESTRICTIONS', 'PUBLICATION MORATORIUM']",GENERAL RESEARCH USE,TRE/SDE
National Diabetes Audit,NHS DIGITAL,9a434a5c-563b-4da1-9133-9994960ade54,"""9a434a5c-563b-4da1-9133-9994960ade54"",","Once your DARS application has been approved, data will be made available either by secure file transfer or through the Data Access Environment (DAE).

Secure file transfer: https://digital.nhs.uk/services/transfer-data-securely

DAE: https://digital.nhs.uk/services/data-access-environment-dae

Please note we will only pause the elapsed time when we require further detail or approvals from an external provider are required.","['ETHICS APPROVAL REQUIRED', 'INSTITUTION SPECIFIC RESTRICTIONS', 'PROJECT SPECIFIC RESTRICTIONS', 'TIME LIMIT ON USE']",NO RESTRICTION,TRE/SDE
Real-time Assessment of Community Transmission (REACT) Study 2: COVID antibody,IMPERIAL COLLEGE LONDON,70656016-c1c9-4bc2-93d1-c66341fcdf36,"""70656016-c1c9-4bc2-93d1-c66341fcdf36"",",IN PROGRESS,"['COLLABORATION REQUIRED', 'ETHICS APPROVAL REQUIRED', 'GEOGRAPHICAL RESTRICTIONS', 'INSTITUTION SPECIFIC RESTRICTIONS', 'PROJECT SPECIFIC RESTRICTIONS', 'USER SPECIFIC RESTRICTION']",RESEARCH SPECIFIC RESTRICTIONS,Varies based on project
Salford Lung Study,BREATHE,86838cad-d5d3-4b65-9c37-29b0c8c36309,"""86838cad-d5d3-4b65-9c37-29b0c8c36309"",","Following receipt of a signed Data Sharing Agreement (DSA), Researchers are provided access to anonymised patient-level data and supporting documentation in a secure data access system, known as the SAS Clinical Trial Data Transparency (CTDT) system.",[],GENERAL RESEARCH USE,Direct Access
Coagulopathies & arterial/venous thrombosis in COVID patients: an OMOP dataset,PIONEER,dd4629c0-14b6-4cba-8dcf-31ec5fea68bb,"""dd4629c0-14b6-4cba-8dcf-31ec5fea68bb"",","Trusted Research Environments (TRE) are built using Microsoft Azure services and hosted in the UK to provide research teams a safe, secure and agile environment which allows users to quickly analyse, interpret and form an enriched view of primary care information through a range of integrated datasets.

Health data collated from multiple sources is ingested into a secure data lake which will then allow subsets of data to be made available to research teams on approval of a data request. Once approved a customer specific TRE is made available with a standard set of leading analytical tools from Microsoft including Azure Databricks, Azure Machine Learning, Azure SQL and Azure Synapse (for large-scale data warehouses). Specific tools can be provided at an additional cost over the standard platform data access charge and the PIONEER team will work with you to determine your exact needs.

Access to the TRE is managed using the latest virtual desktop technology to provide a safe and secure end-user experience.  By utilising leading edge design PIONEER are able to create TREs rapidly to enable us to service any customer requirement.",PROJECT SPECIFIC RESTRICTIONS,RESEARCH USE ONLY,TRE/SDE
Real Time Data Network (RTDN),DATA-CAN,616c4488-65a5-4608-a187-0c6bc78b359a,"""616c4488-65a5-4608-a187-0c6bc78b359a"",","The Yorkshire and Humber Care Record (YHCR) solution – The Data Ark (Which fulfils the requirements of a Trusted Research Environment) has been developed by the YH health and social care partners with the intention of creating a joint
electronic Population Health Management (PHM) Solution. 
 DATA-CAN has a collaboration arrangement with the YHCR to use this technology for RTDN.","['ETHICS APPROVAL REQUIRED', 'GEOGRAPHICAL RESTRICTIONS', 'INSTITUTION SPECIFIC RESTRICTIONS', 'USER SPECIFIC RESTRICTION']",GENERAL RESEARCH USE,TRE/SDE
The impact of COVID on hospitalised patients with COPD; a dataset in OMOP,PIONEER,323dc330-aad9-472a-b579-ab66f5f75906,"""323dc330-aad9-472a-b579-ab66f5f75906"",",Trusted Research Environment on Microsoft Azure cloud server (UK South).  Creating the environment will be subject to a charge following approval of data request. The PIONEER team will work with you to ensure the relevant compute power and tooling is available to support your analytical needs.,COLLABORATION REQUIRED,RESEARCH USE ONLY,TRE/SDE
Ventilatory strategies and outcomes for patients with COVID: a dataset in OMOP,PIONEER,cacba424-6c2c-4b57-8f5b-64e92a78370a,"""cacba424-6c2c-4b57-8f5b-64e92a78370a"",",Trusted Research Environment on Microsoft Azure cloud server (UK South).  Creating the environment will be subject to a charge following approval of data request. The PIONEER team will work with you to ensure the relevant compute power and tooling is available to support your analytical needs.,[],RESEARCH USE ONLY,TRE/SDE
Yorkshire Specialist Register of Cancer in Children and Young People,DATA-CAN,93582beb-e45a-47b6-aeab-d26f583e4c3b,"""93582beb-e45a-47b6-aeab-d26f583e4c3b"",","The data can be accessed through the Yorkshire Specialist Register of Cancer in Children and Young People (YSRCCYP),  registry of well over 10,500 patients diagnosed with cancer in the region. Also the national data source which comprise the Systemic Anti-Cancer Therapy (SACT) dataset ,collecting chemotherapy prescribing data from all hospitals in England. A National Cancer Registry and Analysis Service (NCRAS) become the first national TYA treatment dataset for all individuals treated with chemotherapy since data collection began in 2014, can have vital datasets need.","['ETHICS APPROVAL REQUIRED', 'INSTITUTION SPECIFIC RESTRICTIONS', 'NOT FOR PROFIT USE', 'PROJECT SPECIFIC RESTRICTIONS', 'TIME LIMIT ON USE', 'USER SPECIFIC RESTRICTION']",GENERAL RESEARCH USE,Direct Access
ARIA Dataset,BARTS HEALTH,621dd611-adcf-4434-b538-eecdbe5f72cf,"""621dd611-adcf-4434-b538-eecdbe5f72cf"",",,[],[],"Not reported/to be confirmed"
Arden Tissue Bank,TISSUE DIRECTORY,62fdfd1c-f195-49cc-b3a1-7d9fd2cc8e1b,"""62fdfd1c-f195-49cc-b3a1-7d9fd2cc8e1b"",",,[],[],Varies based on project
BRAIN UK,TISSUE DIRECTORY,1c455ad3-af51-4b93-aff4-c5d3dacfa9f4,"""1c455ad3-af51-4b93-aff4-c5d3dacfa9f4"",",,[],[],Varies based on project
Barts CTU,TISSUE DIRECTORY,22aa219f-f3c8-4a25-822e-aa2504f6f29a,"""22aa219f-f3c8-4a25-822e-aa2504f6f29a"",",,[],[],Varies based on project
BioDock,TISSUE DIRECTORY,ecb82441-286f-408d-880c-9239a25fb5cd,"""ecb82441-286f-408d-880c-9239a25fb5cd"",",,[],[],Varies based on project
Biobank for patients with retinal degenerations & dystrophies,TISSUE DIRECTORY,cee932f8-151c-4834-ac6d-61d842f9d170,"""cee932f8-151c-4834-ac6d-61d842f9d170"",",,[],[],Varies based on project
Bloodwise Childhood Leukaemia Cell Bank,TISSUE DIRECTORY,93baeb13-cc4b-47fd-9dae-5ae5277cba54,"""93baeb13-cc4b-47fd-9dae-5ae5277cba54"",",,[],[],Varies based on project
Bristol Biobank,TISSUE DIRECTORY,9d56ae46-5955-4f03-a93c-a4a6d9f641ab,"""9d56ae46-5955-4f03-a93c-a4a6d9f641ab"",",,[],[],Varies based on project
Bristol Dental School Saliva Bank,TISSUE DIRECTORY,8d77f0ad-f376-4d61-a97d-5e996c2bbe72,"""8d77f0ad-f376-4d61-a97d-5e996c2bbe72"",",,[],[],Varies based on project
CASPS: A Phase II trial of Cediranib in ASPS patients,TISSUE DIRECTORY,7dcd5c0a-1922-4fe2-9b7e-090e4c39861b,"""7dcd5c0a-1922-4fe2-9b7e-090e4c39861b"",",,[],[],Varies based on project
CDE Surginet Documentation,BARTS HEALTH,4c4bc482-16f5-462f-8daf-51ec6492074d,"""4c4bc482-16f5-462f-8daf-51ec6492074d"",",,[],[],"Not reported/to be confirmed"
Cam-UroOnc Biorepository,TISSUE DIRECTORY,21044030-1cd5-46b1-b072-c9959fd330b4,"""21044030-1cd5-46b1-b072-c9959fd330b4"",",,[],[],Varies based on project
Cambridge Blood and Stem Cell Biobank,TISSUE DIRECTORY,c51ab59a-33ce-4145-a642-7f3f96bca545,"""c51ab59a-33ce-4145-a642-7f3f96bca545"",",,[],[],Varies based on project
Cancer Group CTR Cardiff trials,TISSUE DIRECTORY,cd833805-f0a8-4ddb-a50d-b12695c92120,"""cd833805-f0a8-4ddb-a50d-b12695c92120"",",,[],[],Varies based on project
Cardamon Clinical Trial Samples,TISSUE DIRECTORY,c0dcceca-c8cf-4269-a0e0-0c18b6ba2de1,"""c0dcceca-c8cf-4269-a0e0-0c18b6ba2de1"",",,[],[],Varies based on project
Cardiff School of Dentistry Tooth Bank,TISSUE DIRECTORY,0d4f0103-82d8-43f4-8058-4aec80ea562f,"""0d4f0103-82d8-43f4-8058-4aec80ea562f"",",,[],[],Varies based on project
Cardiff University Biobank,TISSUE DIRECTORY,097540aa-a0ed-492e-853b-9ebcfd061dea,"""097540aa-a0ed-492e-853b-9ebcfd061dea"",",,[],[],Varies based on project
Central England Haemato-oncology and oncology Research Biobank (CEHRB),TISSUE DIRECTORY,314953f6-58e7-49c0-adfd-c60e623eba74,"""314953f6-58e7-49c0-adfd-c60e623eba74"",",,[],[],Varies based on project
Children's Cancer and Leukaemia Group (CCLG) Tissue Bank,TISSUE DIRECTORY,c232fa07-5d28-4bdc-b540-1ad8d933c5f9,"""c232fa07-5d28-4bdc-b540-1ad8d933c5f9"",",,[],[],Varies based on project
Community Services Dataset,BARTS HEALTH,cae0a9a5-1bf2-49c3-b8d1-c315d3239074,"""cae0a9a5-1bf2-49c3-b8d1-c315d3239074"",",,[],[],"Not reported/to be confirmed"
DARWIN1 Trial,TISSUE DIRECTORY,7f9672fa-dad5-479d-a929-52719e8cc2fa,"""7f9672fa-dad5-479d-a929-52719e8cc2fa"",",,[],[],Varies based on project
Daisy Tumour Bank,TISSUE DIRECTORY,b3ec5c18-e339-4bd8-8a59-5a3445a81f16,"""b3ec5c18-e339-4bd8-8a59-5a3445a81f16"",",,[],[],Varies based on project
ESPAC-TPlus,TISSUE DIRECTORY,47f979bc-da9d-4e9e-9f2b-15e09366db04,"""47f979bc-da9d-4e9e-9f2b-15e09366db04"",",,[],[],Varies based on project
Epilepsy Society Brain and Tissue Bank,TISSUE DIRECTORY,f13258c3-f85a-4772-b42e-da8a84c5064a,"""f13258c3-f85a-4772-b42e-da8a84c5064a"",",,[],[],Varies based on project
Ethical Tissue - University of Bradford,TISSUE DIRECTORY,fdf9ac68-fc89-4adf-9a73-3a94a9974aef,"""fdf9ac68-fc89-4adf-9a73-3a94a9974aef"",",,[],[],Varies based on project
Freetext Dataset,BARTS HEALTH,0f07f939-1265-4e8b-aaa6-d897d254c2f3,"""0f07f939-1265-4e8b-aaa6-d897d254c2f3"",",,[],[],"Not reported/to be confirmed"
Generation Scotland,TISSUE DIRECTORY,019fad36-65ea-4d47-8d6d-a47240eeb801,"""019fad36-65ea-4d47-8d6d-a47240eeb801"",",,[],[],Varies based on project
Genvasc Primary Care Data,UNIVERSITY HOSPITALS OF LEICESTER,f397acff-a7af-4062-8e8b-c85889cc41df,"""f397acff-a7af-4062-8e8b-c85889cc41df"",",,[],[],"Not reported/to be confirmed"
HCV Research UK,TISSUE DIRECTORY,01492322-9b33-41cc-9f51-484024e45878,"""01492322-9b33-41cc-9f51-484024e45878"",",,[],[],Varies based on project
HPB Biobank,TISSUE DIRECTORY,ebe6c9dd-fb95-4301-a929-c21b8077753a,"""ebe6c9dd-fb95-4301-a929-c21b8077753a"",",,[],[],Varies based on project
Human Biomaterials Resource Centre,TISSUE DIRECTORY,2f085ac6-d33d-4b9b-8a99-624cc51c3f17,"""2f085ac6-d33d-4b9b-8a99-624cc51c3f17"",",,[],[],Varies based on project
Human Developmental Biology Resource (HDBR),TISSUE DIRECTORY,399a6d67-7577-4476-a3b6-4bbceb5a8ff7,"""399a6d67-7577-4476-a3b6-4bbceb5a8ff7"",",,[],[],Varies based on project
ICON9 Trial,TISSUE DIRECTORY,1fdf266c-d5d8-418d-a423-81265da540a2,"""1fdf266c-d5d8-418d-a423-81265da540a2"",",,[],[],Varies based on project
IDRIS Trial,TISSUE DIRECTORY,8437b207-c925-4dd1-9478-5af329cd736e,"""8437b207-c925-4dd1-9478-5af329cd736e"",",,[],[],Varies based on project
IMPORT HIGH trial blood samples,TISSUE DIRECTORY,edafebac-9479-4d2c-b44e-349091d5b35b,"""edafebac-9479-4d2c-b44e-349091d5b35b"",",,[],[],Varies based on project
INCA Trial,TISSUE DIRECTORY,edd55990-a616-4a9c-a4a2-38af136a349b,"""edd55990-a616-4a9c-a4a2-38af136a349b"",",,[],[],Varies based on project
Infectious Diseases BioBank at King's College London,TISSUE DIRECTORY,47b544f4-301c-43e0-b347-fc623ea1a8b3,"""47b544f4-301c-43e0-b347-fc623ea1a8b3"",",,[],[],Varies based on project
IoN Trial,TISSUE DIRECTORY,e10a660d-b84c-475f-abd4-024dd1af7a5d,"""e10a660d-b84c-475f-abd4-024dd1af7a5d"",",,[],[],Varies based on project
King's Health Partners Cancer Biobank,TISSUE DIRECTORY,a218d0b4-0273-4a04-ba17-c01dae6dcf33,"""a218d0b4-0273-4a04-ba17-c01dae6dcf33"",",,[],[],Varies based on project
LBIH Biobank,TISSUE DIRECTORY,c0318a31-a32c-4d3a-9591-dfe9352bf2b9,"""c0318a31-a32c-4d3a-9591-dfe9352bf2b9"",",,[],[],Varies based on project
Leeds Breast Research Tissue Bank,TISSUE DIRECTORY,2dc1218d-df5f-4025-826c-cf5ca7d67882,"""2dc1218d-df5f-4025-826c-cf5ca7d67882"",",,[],[],Varies based on project
"Leeds Dental Institute/School of Dentistry Leeds, Skeletal Tissues Bank",TISSUE DIRECTORY,f94168a1-cab8-4211-90e0-38a241609697,"""f94168a1-cab8-4211-90e0-38a241609697"",",,[],[],Varies based on project
Leeds Multidisciplinary Research Tissue Bank,TISSUE DIRECTORY,7e60a651-b3d6-40ef-93dc-1f87dabee7be,"""7e60a651-b3d6-40ef-93dc-1f87dabee7be"",",,[],[],Varies based on project
Leeds NIHR Biomarker Research Tissue Bank,TISSUE DIRECTORY,8648d251-6186-4383-82fc-c036a87c3842,"""8648d251-6186-4383-82fc-c036a87c3842"",",,[],[],Varies based on project
MDSBio,TISSUE DIRECTORY,13c71637-144e-4742-8aea-aefb778a360e,"""13c71637-144e-4742-8aea-aefb778a360e"",",,[],[],Varies based on project
MFT Biobank,TISSUE DIRECTORY,d17efe5d-325f-4fcf-b25e-87d1f6269bea,"""d17efe5d-325f-4fcf-b25e-87d1f6269bea"",",,[],[],Varies based on project
Manchester Cancer Research Centre (MCRC) Biobank,TISSUE DIRECTORY,095d805c-4b62-4726-b968-bb2f1c463701,"""095d805c-4b62-4726-b968-bb2f1c463701"",",,[],[],Varies based on project
Manchester Eye Tissue Repository,TISSUE DIRECTORY,47fc8f03-eba1-4efa-ae3e-148a76b56517,"""47fc8f03-eba1-4efa-ae3e-148a76b56517"",",,[],[],Varies based on project
Maternity Services Dataset,BARTS HEALTH,173d07ab-5930-4d19-b3de-dcca193e62fd,"""173d07ab-5930-4d19-b3de-dcca193e62fd"",",,[],[],"Not reported/to be confirmed"
MesobanK,TISSUE DIRECTORY,b03835b7-7408-49a0-a9aa-ea405f9855c9,"""b03835b7-7408-49a0-a9aa-ea405f9855c9"",",,[],[],Varies based on project
Multiple Sclerosis and Parkinson's Tissue Bank,TISSUE DIRECTORY,4684d391-a6a7-44f7-bf4b-62b6b693f9fa,"""4684d391-a6a7-44f7-bf4b-62b6b693f9fa"",",,[],[],Varies based on project
Myeloma XII clinical trial samples,TISSUE DIRECTORY,576fbcf8-ff25-4230-ae69-e72ca02b95f1,"""576fbcf8-ff25-4230-ae69-e72ca02b95f1"",",,[],[],Varies based on project
NHS Grampian Biorepository,TISSUE DIRECTORY,10d0def8-dc03-473f-b60b-4c0dc3642a25,"""10d0def8-dc03-473f-b60b-4c0dc3642a25"",",,[],[],Varies based on project
NHS Greater Glasgow & Clyde Bio-Repository,TISSUE DIRECTORY,762976cc-83d0-4b31-a879-37f87f947406,"""762976cc-83d0-4b31-a879-37f87f947406"",",,[],[],Varies based on project
NICAM: Nilotinib treatment for c-KIT mutated advanced AMM,TISSUE DIRECTORY,ba0edcaf-854d-4907-851a-280b56128b3b,"""ba0edcaf-854d-4907-851a-280b56128b3b"",",,[],[],Varies based on project
NIHR Exeter Clinical Research Facility,TISSUE DIRECTORY,df9b7bb1-1b26-4e67-b885-df2dcb8e3450,"""df9b7bb1-1b26-4e67-b885-df2dcb8e3450"",",,[],[],Varies based on project
