PID,Original URL,New File Name,Image Size (KB),Width (px),Height (px),Ratio (x:x)
640b5391ec9fa35e6fdca35e,https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.hdruk.ac.uk%2Fwp-content%2Fuploads%2F2022%2F11%2FBHF-DSC-logo-for-funding-opp.png&amp;imgrefurl=https%3A%2F%2Fwww.hdruk.ac.uk%2Ffunding-opportunities%2Fcardiovascular-and-diabetes-tre-funding-opportunity%2F&amp;tbnid=8CGzv3q4MFAIdM&amp;vet=12ahUKEwjs-eL33NH9AhWEticCHQvqAlkQMygCegUIARCDAQ..i&amp;docid=0Qb26baP-URpJM&amp;w=700&amp;h=350&amp;q=bhf%20dsc&amp;hl=en&amp;ved=2ahUKEwjs-eL33NH9AhWEticCHQvqAlkQMygCegUIARCDAQ,,,,,
60722d8507cf085356a6c436,https://www.healthdatagateway.org/pages/latest-news#3048,,,,,
62eba27673678e395950bbb5,http://www.nshd.mrc.ac.uk/files/9116/5243/0034/Banner_5.png,,,,,
661d908bcb919cfaa01b394d,https://www.hdruk.ac.uk/wp-content/uploads/2023/07/shutterstock_1563745462_reduced-380x209.png,71c59476-0f97-432f-bc2f-763330472379.png,98.0869140625,380,209,20:11
661d9a0a0e8acf5b4354403a,https://www.hdruk.ac.uk/wp-content/uploads/2022/03/shutterstock_717437125-1.jpg,6699aacb-3121-47c9-8676-6c823eec19ca.png,248.587890625,500,334,250:167
60b659b11916ee3677aaec06,https://www.clinicalomics.com/wp-content/uploads/2020/09/Leukemia-1133641181.jpg,5f8b6dbf-bc11-4c4a-93d8-a57be8e34419.png,2702.060546875,2121,1414,3:2
631f01a2ed1bb50cb0a3fb6d,https://www.hdruk.ac.uk/wp-content/uploads/2021/06/RGB-_Coloured-1024x334.png,0980331d-a98f-4fe8-8961-7fbbaf6c1567.png,60.431640625,1024,334,512:167
64902a7465d72b45b43d7ac3,https://icoda-research.org/wp-content/uploads/2023/06/image-30.png,75e9e9db-db20-4ac0-b204-45794bfbe3a1.png,89.259765625,698,360,349:180
661d4aa73ec48d6830e41a28,https://www.hdruk.ac.uk/wp-content/uploads/2023/01/thumb_320-1-320x209.jpg,3adf1774-4b17-4d07-a7de-a5dbb0147bf8.png,94.8056640625,320,209,320:209
66d706892343ff971256af4f,https://www.hdruk.org/wp-content/uploads/2023/01/Screenshot-2023-08-02-at-16.36.07.png,3a2429fd-3670-418c-8b0e-275cf07d0f65.png,60.23046875,1101,571,1101:571
5f281c8ab409acce9d289cc5,https://www.hdruk.ac.uk/wp-content/uploads/2020/04/dna_helix.jpg,b303839b-c816-4a62-b4d6-2c09c28cdb16.png,176.734375,500,334,250:167
5fce17042d7b1e56f91f3fb8,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/HSC.png,f18dfc17-fd56-4e9f-ba4e-55a7c2afff54.png,44.7216796875,700,466,350:233
60182f269a86942c9f658d4b,https://www.hdruk.ac.uk/about-us/locations/better-care-north-partnership/,,,,,
60265c012c78ca4d4e96baff,https://www.hdruk.ac.uk/wp-content/uploads/2020/03/shutterstock_1563745462-genomic-sequencing-800x450.jpg,043ac31e-da63-4e21-aadb-8777f6534cfc.png,443.58984375,800,450,16:9
62e9326da92e3ef6a4bedb31,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/HDR-Gateway-logo-full-large_social.png?mtime=20220802151907&amp;focal=none,0704b399-4907-4269-9287-ce969f4fce01.png,44.5107421875,1001,565,1001:565
5f32a71f3b1d858383e97bf2,https://media.nutrition.org/wp-content/uploads/2017/08/IBD.jpg,016c6f00-b1cc-4fc6-b788-7f6cb281fc05.png,126.4619140625,351,351,1:1
5f281a3ab409ac38b5289cb2,https://www.hdruk.ac.uk/wp-content/uploads/2020/06/shutterstock_1675328338-484x412.jpg,825bea5e-d77b-4748-aa63-42c12a030848.png,242.974609375,484,412,121:103
61e59451ac76c1995bc61613,https://th.bing.com/th/id/OIP.sYsRlgCanAaNzFlVtG32GAHaEK?w=266&amp;h=180&amp;c=7&amp;r=0&amp;o=5&amp;pid=1.7,,,,,
6363b95d6ca84a35c6345803,https://cdn.pixabay.com/photo/2017/02/10/12/03/volunteer-2055010_1280.png,1e12ea98-8a58-4f2f-afa5-271fcb5b2ded.png,120.4697265625,1280,882,640:441
637616c54a86282de6066469,https://www.ed.ac.uk/sites/default/files/styles/panel_breakpoints_theme_uoe_mobile_1x/public/thumbnails/image/dataloch_logo_dark_900x400edweb.png,ac6944d6-09ed-47a6-8c72-6daa4eba3706.png,33.9208984375,720,320,9:4
5f32a6e03b1d8510bae97bed,https://www.timeshighereducation.com/sites/default/files/styles/the_breaking_news_image_style/public/istock-680508160.jpg,,,,,
6050a40d26cf73cdee900835,https://images.unsplash.com/photo-1608451643043-6a8eebc527ee?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&amp;ixlib=rb-1.2.1&amp;auto=format&amp;fit=crop&amp;w=1350&amp;q=80,1055ec2d-a21a-433b-bdbc-c70b57b7fb32.png,13802.7158203125,5184,3456,3:2
5fad546c8c45bd48e368046b,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/people_sticky_notes.jpg?mtime=20210510144834&amp;focal=none,f829b956-9a5f-4bf8-b07d-42f94f35eb11.png,570.5703125,1024,683,1024:683
60c1d75f3cd6371463bb3c3e,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/Capture333.PNG?mtime=20210610110749&amp;focal=none,f213a2ca-874e-4bd9-9b23-9bf3bcc32c39.png,123.45703125,382,215,382:215
5fb62c186f3f97bc1e2d9284,http://www.cs.nott.ac.uk/~pszjb3/cocologowide.jpg,,,,,
5f284ebdf03bb830b120f54c,https://www.hdruk.ac.uk/wp-content/uploads/2020/05/GettyImages-483291233.jpg,9bd61138-3b89-417e-a342-ce64e32d6b13.png,249.423828125,508,339,508:339
60b75a58a6034a748f623770,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/Capturecc.PNG?mtime=20210602120214&amp;focal=none,fd4f63bd-2c6f-4e9b-a4cf-54de8ebc289f.png,143.783203125,391,213,391:213
60b65dcf1916ee290faaec7c,https://www.pintas.com/wp-content/uploads/2020/07/johnson-and-johnson-talcum-powder-lawsuit-lawyer-is-there-a-cure-for-ovarian-cancer-scaled.jpg,37bd1f06-0df3-4f56-b9be-0ae79cc4a8b7.png,1452.9541015625,2560,1880,64:47
5f32a6a63b1d85ec0fe97be8,https://d2ebzu6go672f3.cloudfront.net/media/content/images/p4_LungsML0418_gi577938810.jpg,78dc7d95-1ca6-46a2-92f3-d13e1289dc60.png,1097.166015625,1006,1200,503:600
60b65b761916ee9db4aaec33,https://images.unsplash.com/photo-1631048007275-db7b5deffbad?ixlib=rb-1.2.1&amp;ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&amp;auto=format&amp;fit=crop&amp;w=2070&amp;q=80,679c2b69-8b85-4fa1-b3cc-bb84600ce36a.png,15255.2978515625,4000,2667,4000:2667
60b64a1dfcc86850883f3c01,https://healthgatehospital.com/wp-content/uploads/2018/11/gastroenterology.jpg,,,,,
60b656b21916ee1a4caaeb9c,https://els-jbs-prod-cdn.jbs.elsevierhealth.com/pb/assets/raw/Lancet/clinical/diseases/bladder-cancer.jpg,,,,,
661d7fa9dfbb768c43102d9b,https://www.hdruk.ac.uk/wp-content/uploads/2023/08/national-cancer-institute-LnvCEXQwC-o-unsplash-380x209.jpg,030b410b-d853-4d2b-9c60-f31715ff526b.png,125.2529296875,380,209,20:11
5fda35025c98da5d654ca1fc,https://www.hdruk.ac.uk/wp-content/uploads/2020/06/shutterstock_782114452-800x450.jpg,17ff3653-9614-40ea-8afb-7d8add129f1b.png,441.4423828125,800,450,16:9
601c0ca11789d23423a8ec93,https://storage.googleapis.com/hdruk-gateway_prod-cms/web-assets/bc.PNG?mtime=20210204152522&amp;focal=none,e00bf9b2-c332-4510-a959-9bc1386c462e.png,124.3212890625,383,216,383:216
66d9a265755933125df96716,https://www.hdruk.ac.uk/ad-data-initiative-data-pilots-logos-for-collection-3-1/,4f844201-2939-4f97-9a18-99b2f6bb9bc9.png,112.6396484375,750,400,15:8
