#,_id,license,description,name,tags,link,authors_names,categories,programmingLanguage,MK2 Programming Language (array),Language 1,Language 2,Package,resultsInsights,Team_owner,License MK2,License2 MK2,License Notes,Category,Category2,Category3,Category Notes,General note,MK2 Package,MK2 License (array),MK2 Type_Category (array)
0,5ece82142abda8b3a06f1a1b,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,0,CMMID Interactive Applications,"{'topics': ['COVID-19'], 'features': ['Modelling', 'Visualisation']}",https://cmmid.github.io/visualisations,['LSHTM'],"{'category': 'Data Modelling', 'programmingLanguageVersion': '', 'programmingLanguage': ['R']}","[{'programmingLanguage': 'R', 'version': ''}]","R, ",R,,Data modelling,0,London School of Hygiene and Tropical Medicine,Available upon request,,,Analysis,Reference documents/ Catalogue,,,Does an organisation need a Team on the Gateway in order to be able to have an organisational point of contact?,Data modelling,", ","Analysis, Reference documents/ Catalogue, "
11,5f116b904d95b91eef3b24e6,ODC_PDDL,"The aim of this project is to develop a database of simulated pulse waves with which to test pulse wave analysis algorithms.

A database of simulated pulse waves representative of a sample of healthy adults was created. It contains several types of pulse waves (such as those measured by smart watches and fitness trackers) at common measurement sites for 4,374 virtual subjects aged 25 - 75 years old. The virtual subjects exhibit a range of cardiovascular properties across the normal ranges encountered in healthy people. The results were verified against in vivo data. Case studies were published (at https://doi.org/10.1152/ajpheart.00218.2019 ) demonstrating the utility of the database.

The database is a useful resource for research and education on the topics of: signal processing, physiology, and computational modelling.",Pulse Wave Database,"{'features': ['ageing', 'cardiovascular', 'pulse waves', 'signal processing', 'dataset'], 'topics': ['Haemodynamics']}",https://peterhcharlton.github.io/pwdb/,0,"{'programmingLanguage': ['Matlab'], 'category': 'Dataset', 'programmingLanguageVersion': ''}",0,"Matlab, ",Matlab,,,0,,Open Data Commons Public Domain Dedication and License 1.0,,Public Domain Dedication and License,Reference documents/ Catalogue,,,,,,", ","Reference documents/ Catalogue, , "
12,5f32b2a13b1d855594e97c19,HDR_CATEGORY_COPYRIGHTED,"ggquickeda is an R Shiny app/package providing a graphical user interface (GUI) to ggplot2 and table1.

It enables you to quickly explore your data and to detect trends on the fly. You can do scatter plots, dotplots, boxplots, barplots, histograms, densities and summary statistics of one or multiple variable(s) by column(s) splits and an optional overall column.

It also has the km, kmband and kmticks geoms/stats to facilitate the plotting of Kaplan-Meier Survival curves",ggquickeda,"{'features': [], 'topics': ['COVID-19', 'Infection']}",https://github.com/smouksassi/ggquickeda,0,"{'programmingLanguage': ['R-Shiny'], 'category': 'Data Visualisation', 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'R-Shiny', 'version': ''}]","R, ",R,,Data visualisation,0,,Copyrighted,,,Reporting/ Visualisations/ Dashboards,,,,,Data visualisation,"Copyrighted, ","Reporting/ Visualisations/ Dashboards, , "
13,5f33d138719124c73a3f8eb2,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,"Cytel Inc. has launched an open-access global COVID-19 Clinical Trial Tracker to help facilitate greater collaboration between researchers, policymakers, clinicians, journalists, philanthropists, and other critical stakeholders who need to understand the complex dynamics of the global response to finding a solution to the COVID-19 outbreak.

This will enable them to make more informed and pragmatic decisions on how to channel scarce resources. Clinicians and local government need to know what trials are taking place in their community to ensure that the right patients receive the right exploratory treatment, while philanthropists and Federal policymakers deserve a one-stop shop to determine which are the most promising early phase treatment results.

Funded in part by The Bill and Melinda Gates Foundation, a leader in global health solutions, this live dashboard offers an overview of all the trials taking place in the international effort to tackle the pandemic. One of the most difficult challenges facing those seeking a COVID-19 treatment is how little data exists about this disease. Early investigators are relying on guesswork to determine which therapies to investigate. Collating information in one place on the growing numbers of trials, will enable decision-makers to compare treatments more easily as they determine which to investigate further.",Global Coronavirus COVID-19 Clinical Trial Tracker,"{'features': ['Community Tracking'], 'topics': ['COVID-19', 'Clinical Trial']}",https://www.covid19-trials.com/,0,"{'programmingLanguage': ['R-Shiny'], 'category': 'Web application', 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'R-Shiny', 'version': ''}]","R, ",R,,Data visualisation,0,,Available upon request,,,Reference documents/ Catalogue,,,"Dead link- may once have been a link to a dashboard with some info about a covid tracker, which doesnâ€™t fit into really any of our definitions?",Broken link,Data visualisation,", ","Reference documents/ Catalogue, , "
14,5f3513aad99f96a07a1d13be,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,Parsing of ophthalmic image formats,Moorfields: Private Eye,"{'features': [], 'topics': []}",https://www.insight.hdrhub.org/,0,"{'category': 'Library', 'programmingLanguage': ['Python'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Python', 'version': ''}]","Python, ",Python,,,0,,Available upon request,,,Preparing data for analysis,,,,,,", ","Preparing data for analysis, , "
15,5f351429d99f9647151d13c3,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,Cataloguing of ophthalmic images,Moorfields: Librarian,"{'features': [], 'topics': []}",https://www.insight.hdrhub.org/,0,"{'category': 'App (Docker/Kubernetes)', 'programmingLanguage': ['Python'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Python', 'version': ''}]","Python, ",Python,,,0,,Available upon request,,,Reference documents/ Catalogue,,,dataset catalogue?? Same link as above,,,", ","Reference documents/ Catalogue, , "
16,5f351459d99f96ec261d13c7,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,ETL linking clinical and image data,Moorfields: Laser Beam,"{'features': [], 'topics': []}",https://www.insight.hdrhub.org/,0,"{'category': 'App (Apache Beam / GCP DataFlow)', 'programmingLanguage': ['Kotlin'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Kotlin', 'version': ''}]","Kotlin, ",Kotlin,,,0,,Available upon request,,,Preparing data for analysis,,,,,,", ","Preparing data for analysis, , "
17,5f352fa223d2997954b8ef3f,MS_PL,"Utility SQL platform for data definition, extraction, manipulation and persistance.",MS SQL / SSIS,"{'features': ['Association Rules', 'Bayesian Statistics', 'Collaborative Filtering', 'Data management', 'Graphs', 'Indexation / Cataloguing', 'Search Engine'], 'topics': ['Blood', 'Cancer and neoplasms', 'Congenital disorders', 'COVID-19', 'Ear', 'Infection', 'Inflammatory and immune system', 'Injuries and accidents', 'Mental health', 'Metabolic and Endocrine', 'Musculoskeletal', 'Neurological', 'Oral and Gastrointestinal', 'Renal and Urogenital', 'Respiratory', 'Skin', 'Stroke']}",https://www.hdruk.ac.uk/help-with-your-data/our-hubs-across-the-uk/pioneer/,0,"{'category': 'Data Modelling, Data Visualisation, Developer stack', 'programmingLanguage': ['SQL server'], 'programmingLanguageVersion': 'T-SQL'}","[{'programmingLanguage': 'SQL Server', 'version': 'T-SQL'}]","SQL, ",SQL,,Data modelling,0,,Microsoft Public License (MS-PL),,Needs validation,Reference documents/ Catalogue,,,,,Data modelling,"Microsoft Public License (MS-PL), ","Reference documents/ Catalogue, , "
18,5f50fc566589d401f097fece,HDR_CATEGORY_AVAILABLE_UPON_REQUEST,"SAIL stands for Secure Anonymised Information Linkage. The SAIL Databank is a world-class flagship for the robust secure storage and use of anonymised person-based data for research to improve health, well-being and services. Its databank of anonymised data about the population of Wales is internationally recognised.Â SAIL also provides trusted research environment (TRE) services to national programmes and hubs, such as BREATHE, the Health Data Research Hub for Respiratory Health.",SAIL Databank,"{'features': ['Repository', 'Service', 'Software', 'Virtual Machine', 'Arbitrage', 'Attribution Modeling', 'Bayesian Statistics', 'Clustering', 'Community Tracking', 'Data management', 'Deep Learning', 'Geospatial Modeling', 'Graphs', 'Indexation / Cataloguing', 'Linear Regression', 'Linkage Analysis', 'Logistic Regression', 'Modelling', 'Monte-Carlo Simulation', 'Naive Bayes', 'Phenomics', 'Predictive Modeling', 'Risk Calculator', 'Survival Analysis', 'Symptom Tracker', ' NCS'], 'topics': ['Blood', 'Cancer and neoplasms', 'Cardiovascular', 'Congenital disorders', 'Clinical Trial', 'COVID-19', 'Eye', 'Ear', 'Haemodynamics', 'Infection', 'Inflammatory and immune system', 'Injuries and accidents', 'Mental health', 'Metabolic and Endocrine', 'Musculoskeletal', 'Neurological', 'Oral and Gastrointestinal', 'Renal and Urogenital', 'Reproductive health and childbirth', 'Respiratory', 'Skin', 'Stroke']}",https://saildatabank.com/,0,"{'category': 'Platform', 'programmingLanguage': ['Other'], 'programmingLanguageVersion': ''}","[{'_id': ObjectId('600570a13d2771860042ebb5'), 'programmingLanguage': 'Other', 'version': ''}]","Other, ",Other,,Data modelling,0,,Available upon request,,,TRE/SDE setup,,,,,Data modelling,", ","TRE/SDE setup, , "
19,5f55eb19c5eb9f5b9c49a800,HDR_CATEGORY_COPYRIGHTED,"The ISARIC 4C prognostic score uses data from more than 70,000 hospital admissions, we have devised a simple, robust and generalisable prognostic scoring system for hospitalised patients.

The 4C Mortality Score is a risk stratification score that predicts in-hospital mortality for hospitalised COVID-19 patients, produced by the ISARIC 4C consortium. It is intended for use by clinicians. It is designed to be easy-to-use, and require only parameters that are commonly available at hospital presentation.

For full details, see the [paper](https://www.medrxiv.org/content/10.1101/2020.07.30.20165464v1) introducing the score. 

This is an infographic that visualises risk, based on observed mortality among hospitalised adult COVID19 patients recruited into the ISARIC 4C study in the UK.",ISARIC 4C prognostic score,"{'features': ['Risk Calculator'], 'topics': ['COVID-19', 'Respiratory', 'Infection']}",https://isaric4c.net/risk,0,"{'programmingLanguage': ['Javascript'], 'category': 'Risk prediction', 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Javascript', 'version': ''}]","Javascript, ",Javascript,,,0,,Copyrighted,,,Reference documents/ Catalogue,,,,,,"Copyrighted, ","Reference documents/ Catalogue, , "
20,5f6e107a897e3f42ffdbfbbc,GPL_3_0,"Data analytics, profiling, reporting and integration platform.

KNIME Analytics Platform is an open solution for data-driven innovation, designed for discovering the potential hidden in data, mining for fresh insights, or predicting new futures.

KNIME Analytics Platform provides the tools to connect to a host of databases and data warehouses, access a variety of file formats, retrieve data from cloud resources or external services, and more. The broad set of out-of-the-box functionality, allows you to seamlessly integrate and transform the data in one uniform, visual environment on your own - no dependencies on central IT. If thereâ€™s a functionality youâ€™re missing, simply integrate the tools you like or take advantage of the many integrations we have with other open source projects.  Workflows created with KNIME Analytics Platform automatically document each step of your data wrangling process.

KNIME Software covers all kinds of data analytics functionality - for example classification, regression, dimension reduction, or clustering, using advanced algorithms including deep learning, tree-based methods, and logistic regression. Among these, are integrations with other large, open source projects such as Keras or Tensorflow for deep learning, H2O for high performance machine learning, R and Python for coding, and various implementations for model interpretability and validation.",Knime,"{'features': ['Analytics', 'Data and Tool Blending', 'Statistical Functions', 'Machine Learning'], 'topics': []}",https://www.knime.com/,0,"{'category': 'Software', 'programmingLanguage': ['Java'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Java', 'version': ''}]","Java, ",Java,,Data modelling,0,,GNU General Public License version 3,,GNU General Public License version 3.0 (GPLv3),Preparing data for analysis,Analysis,Reporting/ Visualisations/ Dashboards,Not appropriate for the Gateway?,,Data modelling,"GNU General Public License version 3, ","Preparing data for analysis, Analysis, Reporting/ Visualisations/ Dashboards"
21,5f6e1657897e3f6900dbfbc1,MIT,"Python module for exploratory data analysis (EDA)

Generates profile reports from a pandas DataFrame. The pandas df.describe() function is great but a little basic for serious exploratory data analysis. pandas_profiling extends the pandas DataFrame with df.profile_report() for quick data analysis.",Pandas Profiling,"{'features': ['Exploratory Data Analysis', 'Statistics', 'Text Analysis'], 'topics': []}",https://github.com/pandas-profiling/pandas-profiling,0,"{'category': 'Open Source Python Module', 'programmingLanguage': ['Python'], 'programmingLanguageVersion': '3.8'}","[{'programmingLanguage': 'Python', 'version': ''}]","Python, ",Python,,,0,,The MIT License,,MIT license,Data discovery,Preparing data for analysis,,,,,"The MIT License, ","Data discovery, Preparing data for analysis, "
22,5f6e1a2a897e3f2a78dbfbcc,GPL_3_0,"Data visualization, machine learning, data profiling and mining toolkit.

Open source machine learning and data visualization for novice and expert. Interactive data analysis workflows with a large toolbox. Orange consists of a canvas interface onto which the user places widgets and creates a data analysis workflow. The user can interactively explore visualizations or feed the selected subset into other widgets.

Data mining is done through visual programming or Python scripting.  Python scrips can run in a terminal window, integrated environments PyCharm and PythonWin, or shells like iPython.

The tool has components for machine learning, add-ons for bioinformatics and text mining and it is packed with features for data analytics.

Orange consists of a canvas interface onto which the user places widgets and creates a data analysis workflow.  Widgets off basic functionalities such as reading the data, showing a data table, selecting features, training predictors, comparing learning algorithms, visualizing data elements, etc.  The user can interactively explore visualizations or feed the selected subset into other widgets.

In Orange, data analysis process can be designed through visual programming.  Orange remembers the choices, suggests most frequently used combinations.  Orange has features for different visualization, such as scatterplots, bar charts, trees, to dendorograms, networks and heatmaps.",Orange,"{'features': ['Machine Learning', 'Data Visualisation', 'Bioinformatics', 'Image Analytics', 'Text Mining', 'Time Series', 'Spectroscopy', 'Evaluate'], 'topics': []}",https://orange.biolab.si/,0,"{'category': 'Software', 'programmingLanguage': ['Python', 'C++', 'C', 'Django'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Python', 'version': ''}, {'programmingLanguage': 'C++', 'version': ''}, {'programmingLanguage': 'C', 'version': ''}, {'programmingLanguage': 'Django', 'version': ''}]","Python, C++",Python,C++,Data visualisation,0,,GNU General Public License version 3,, GNU [GPL-3.0]+ license,Analysis,AI/ML pipeline,,,,Data visualisation,"GNU General Public License version 3, ","Analysis, AI/ML pipeline, "
23,5f6e1d81897e3fd812dbfbd3,GPL_3_0,"Integrated environment for data preparation, machine learning, deep learning, text mining, and predictive analytics.

Easy-to-use visual environment for predictive analytics. No programming required. RapidMiner is easily the most powerful and intuitive graphical user interface for the design of analysis processes. Forget sifting through code! You can also choose to run in batch mode. Whatever you prefer, RapidMiner has it all.

RapidMiner Python package:
Both Studio and Server classes provide a read and a write method for reading / writing data and other objects, and a run method to run processes. The method signatures are the same, with somewhat different extra parameters.

Studio class requires a local Studio installation and is suitable in the following cases:

Implementing certain data science steps in Python using your favorite IDE or notebook implementation. You may even use the resulting code afterwards in a RapidMiner process within an Execute Python operator.
You are using coding primarily, but you want to incorporate methods that are impemented in a RapidMiner process.
Creating batch tasks that also interact with the repository and / or run processes.
Server class connects directly to a Server instance without the need of a Studio installation. It is suitable in the following cases:

Collaborating with RapidMiner users, sharing data easily.
Calling, running, scheduling processes on the RapidMiner Server platform from a local script.",RapidMiner,"{'features': ['Data Preparation', 'Machine Learning', 'Deep Learning', 'Text Mining', 'Predictive Analytics'], 'topics': []}",https://rapidminer.com/get-started/,0,"{'category': 'Software', 'programmingLanguage': ['Java'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Java', 'version': ''}]","Java, ",Java,,Machine learning,0,,GNU General Public License version 3,,GNU General Public License version 3.0 (GPLv3),Analysis,AI/ML pipeline,Data collection/Management,Not appropriate for the Gateway?,,Machine learning,"GNU General Public License version 3, ","Analysis, AI/ML pipeline, Data collection/Management"
24,5f71a44e7815d07d051e9afe,GPL_3_0,"Machine learning software to solve data mining problems.

Weka is a collection of machine learning algorithms for solving real-world data mining problems. It is written in Java and runs on almost any platform. The algorithms can either be applied directly to a dataset or called from your own Java code.

Weka is tried and tested open source machine learning software that can be accessed through a graphical user interface, standard terminal applications, or a Java API. It is widely used for teaching, research, and industrial applications, contains a plethora of built-in tools for standard machine learning tasks, and additionally gives transparent access to well-known toolboxes such as scikit-learn, R, and Deeplearning4j.

Weka contains a collection of visualization tools and algorithms for data analysis and predictive modelling, together with graphical user interfaces for easy access to these functions.

Weka supports several standard data mining tasks, more specifically, data preprocessing, clustering, classification, regression, visualization, and feature selection. All of Weka's techniques are predicated on the assumption that the data is available as one flat file or relation, where each data point is described by a fixed number of attributes (normally, numeric or nominal attributes, but some other attribute types are also supported). Weka provides access to SQL databases using Java Database Connectivity and can process the result returned by a database query.",WEKA,"{'features': ['Machine Learning', 'Data Mining', 'Preprocessing', 'Classification', 'Regression', 'Clustering', 'Association Rules', 'Attribution Selection', 'Experiments', 'Visualisation', 'Workflow'], 'topics': []}",https://www.cs.waikato.ac.nz/ml/weka/,0,"{'category': 'Software', 'programmingLanguage': ['Java'], 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Java', 'version': ''}]","Java, ",Java,,Data modelling,0,,GNU General Public License version 3,,GNU General Public License version 3.0 (GPLv3),Preparing data for analysis,AI/ML pipeline,,Dead link,,Data modelling,"GNU General Public License version 3, ","Preparing data for analysis, AI/ML pipeline, "
25,5f71b5477815d02bae1e9b2d,MIT,"Pseudonymizes datasets

Anonimatron is a tool that pseudonymizes datasets and that can be used to generate pseudonymized production data to find a bug or do performance tests outside of the clientâ€™s production environment. With the release of the GDPR, a feature was added that enables the anonymization of files. You can configure a column to be anonymized without storing the generated synonyms for later runs.

FEATURES:
Anonymize data in databases and files.
Generates fake email addresses, fake Roman names, and UUIDâ€™s out of the box.
Easy to configure, automatically generates example config file.
Anonymized data is consistent between runs. No need to re-write your tests to handle random data.
Extendable, easily implement and add your own anonymization handlers
Multi database, uses SQL92 standards and supports Oracle, PostgreSQL and MySQL out of the box. Anonimatron will autodetect the following JDBC drivers: DB2, MsSQL, Cloudscape, Pointbase, Firebird, IDS, Informix, Enhydra, Interbase, Hypersonic, jTurbo, SQLServer and Sybase.",Anonimatron,"{'features': ['Anonymize Data'], 'topics': []}",https://github.com/realrolfje/anonimatron,0,"{'programmingLanguage': ['Java'], 'category': 'Data Anonymization Tool', 'programmingLanguageVersion': ''}","[{'programmingLanguage': 'Java', 'version': ''}]","Java, ",Java,,Data anonymization,0,,The MIT License,,MIT,Reporting/ Visualisations/ Dashboards,TRE/SDE operations,,,,Data anonymization,"The MIT License, ","Reporting/ Visualisations/ Dashboards, TRE/SDE operations, "
